,wavelength,mua,mus,p,eV
91,764.0,0.3453456281,6.125814449668161,0.274118116,1.6228298220615665
92,768.0,0.32284958210000003,6.099066519684133,0.271267361,1.6143775834049958
93,772.0,0.3002843867,6.0725734259068185,0.268463583,1.6060129327137782
94,776.0,0.27294337849999994,6.046331438809154,0.265705693,1.5977345155348412
95,780.0,0.25432878189999997,6.0203369022994515,0.262990066,1.5895410051987653
96,784.0,0.24189171089999995,5.994586231907987,0.26031075,1.5814311021110163
97,788.0,0.2341890967,5.9690759130273605,0.257672189,1.5734035330647675
98,792.0,0.23229971049999998,5.943802499204747,0.255076013,1.5654570505745415
99,796.0,0.23325305399999996,5.9187626104842765,0.252521263,1.5575904322299459
100,800.0,0.23615517080000004,5.8939529317978225,0.250002348,1.549802480068796
101,804.0,0.23999377909999997,5.869370211402537,0.247522084,1.5420920199689514
102,808.0,0.24585993789999994,5.845011259363573,0.245074012,1.534457901058214
103,812.0,0.2537071728,5.8208729460804465,0.242667642,1.526898995141671
104,816.0,0.26077699339999993,5.796952200855605,0.240296526,1.5194141961458785
105,820.0,0.268538571,5.773246010503756,0.237955726,1.5120024195793131
106,824.0,0.2770851309,5.749751418000639,0.235648977,1.5046626020085399
107,828.0,0.28389618409999995,5.726465521169914,0.233377675,1.4973937005495614
108,832.0,0.293236767,5.703385471406914,0.231141053,1.4901946923738423
109,836.0,0.3024897837,5.68050847243808,0.228934457,1.483064574228513
110,840.0,0.3114439606,5.657831779114872,0.22675737,1.476002361970282
111,844.0,0.3178298316,5.635352696241083,0.224613104,1.4690070901126029
112,848.0,0.3270748901,5.613068577432447,0.222500964,1.4620778113856567
113,852.0,0.33593439829999994,5.590976824007527,0.220416646,1.4552135963087287
114,856.0,0.3432551709,5.569074883908855,0.218362373,1.4484135327745757
115,860.0,0.35162071689999996,5.547360250653392,0.216333153,1.4416767256453917
116,864.0,0.36081894449999996,5.525830462311359,0.214336425,1.4350022963599964
117,868.0,0.3696645499,5.504483100512556,0.212365515,1.4283893825518859
118,872.0,0.37836880679999996,5.483315789479293,0.210419998,1.4218371376777945
119,876.0,0.384896601,5.46232619508512,0.208502742,1.4153447306564348
120,880.0,0.3934207167,5.441512023938533,0.206613169,1.4089113455170874
121,884.0,0.4013870949,5.420871022490909,0.204747587,1.402536181057734
122,888.0,0.40879527829999995,5.4004009761678935,0.202905608,1.3962184505124289
123,892.0,0.41532965059999993,5.380099708523546,0.201092175,1.3899573812276198
124,896.0,0.42035931009999994,5.359965080416533,0.199299957,1.3837522143471392
125,900.0,0.4258892917,5.339994989207706,0.197532329,1.3776022045055965
126,904.0,0.43075900980000004,5.320187367978418,0.195786671,1.371506619529908
127,908.0,0.4337190621,5.300540184768945,0.194066888,1.365464740148719
128,912.0,0.43560242399999993,5.281051441836414,0.192368272,1.3594758597094703
129,916.0,0.4361498664,5.261719174931668,0.19069049,1.3535392839028786
130,920.0,0.4350633131,5.242541452594475,0.189035917,1.3476543304946054
131,924.0,0.43274888319999993,5.223516375466568,0.1874041,1.3418203290638926
132,928.0,0.42908198389999996,5.204642075621975,0.185792022,1.336036620748962
133,932.0,0.4238027192,5.185916715914128,0.184199377,1.3303025579989667
134,936.0,0.41671561020000003,5.167338489339275,0.182629637,1.3246175043323043
135,940.0,0.4083613157,5.148905618415705,0.181078642,1.3189808341011031
136,944.0,0.3989995177,5.1306163545783425,0.179546107,1.3133919322616916
137,948.0,0.38755247709999996,5.112468977588245,0.178035334,1.3078501941508827
138,952.0,0.37582765649999994,5.094461794956612,0.176542375,1.302355025267896
139,956.0,0.36288286299999994,5.07659314138285,0.175066963,1.296905841061754
140,960.0,0.34890749249999997,5.058861378206318,0.17361224,1.2915020667239967
141,964.0,0.3347729022,5.041264892871359,0.172174457,1.2861431369865528
142,968.0,0.3204792178,5.023802098405241,0.170753364,1.2808284959246248
143,972.0,0.3094287607,5.006471432908646,0.169350878,1.2755575967644412
144,976.0,0.2946930001,4.989271359058345,0.167966657,1.2703299016957346
145,980.0,0.27998803640000003,4.972200363621746,0.166598293,1.2651448816888131
146,984.0,0.2651035816,4.955256956982939,0.165245555,1.2600020163160943
147,988.0,0.24670031339999998,4.938439672679981,0.163911252,1.2549007935779726
148,992.0,0.23206794320000002,4.921747066953043,0.162591051,1.2498407097329
149,996.0,0.21758656609999993,4.905177718303177,0.161288696,1.244821269131563
150,1000.0,0.20376505840000003,4.8887302270613855,0.160000961,1.2398419840550368
